iter	Passed	Remaining
0	0	998
1	1	719
2	2	679
3	2	596
4	2	537
5	2	471
6	3	430
7	3	418
8	3	408
9	4	397
10	4	391
11	4	376
12	4	374
13	5	368
14	5	364
15	5	362
16	6	359
17	6	358
18	6	353
19	6	341
20	7	341
21	7	335
22	7	336
23	8	335
24	8	335
25	8	335
26	9	327
27	9	330
28	9	328
29	10	327
30	10	327
31	10	330
32	11	336
33	11	337
34	12	343
35	12	341
36	12	337
37	13	340
38	13	341
39	14	343
40	14	343
41	15	345
42	15	349
43	16	350
44	16	351
45	16	351
46	17	362
47	18	364
48	18	362
49	18	357
50	18	353
51	19	354
52	19	355
53	20	353
54	20	354
55	21	354
56	21	355
57	21	355
58	22	354
59	22	355
60	23	363
61	23	361
62	24	359
63	24	362
64	25	363
65	25	363
66	26	363
67	26	365
68	27	366
69	27	367
70	27	365
71	28	367
72	28	365
73	29	367
74	29	367
75	29	364
76	30	362
77	30	363
78	31	363
79	31	363
80	31	362
81	32	362
82	32	362
83	33	363
84	33	362
85	34	364
86	34	364
87	35	364
88	35	363
89	36	365
90	36	364
91	36	364
92	37	364
93	37	364
94	38	363
95	38	363
96	38	361
97	39	359
98	39	360
99	40	360
100	40	361
101	40	360
102	41	360
103	41	360
104	42	360
105	42	360
106	43	361
107	43	361
108	44	360
109	44	360
110	45	361
111	45	361
112	45	359
113	46	358
114	46	358
115	47	358
116	47	359
117	48	358
118	48	359
119	49	359
120	49	357
121	49	357
122	50	357
123	50	357
124	51	357
125	51	356
126	51	356
127	52	354
128	52	354
129	52	353
130	53	353
131	53	352
132	54	352
133	55	357
134	55	356
135	56	356
136	56	356
137	56	355
138	57	354
139	57	354
140	58	353
141	58	353
142	58	352
143	59	352
144	59	351
145	60	351
146	60	351
147	61	352
148	61	351
149	61	350
150	62	351
151	62	350
152	63	349
153	63	349
154	63	347
155	64	347
156	64	346
157	65	346
158	65	346
159	65	345
160	66	345
161	66	345
162	67	344
163	67	344
164	68	344
165	68	342
166	68	342
167	69	342
168	69	342
169	70	342
170	70	342
171	71	342
172	71	341
173	71	341
174	72	341
175	72	340
176	73	340
177	73	339
178	74	339
179	75	343
180	75	342
181	76	341
182	76	341
183	76	340
184	77	340
185	77	339
186	77	338
187	78	337
188	78	337
189	78	336
190	79	335
191	79	334
192	79	333
193	80	333
194	80	333
195	81	333
196	81	333
197	82	332
198	82	332
199	82	331
200	83	331
201	83	330
202	84	330
203	84	329
204	85	330
205	85	329
206	86	329
207	86	329
208	86	329
209	87	328
210	87	328
211	88	327
212	88	326
213	88	326
214	89	326
215	89	326
216	90	325
217	90	325
218	91	325
219	91	325
220	92	324
221	92	324
222	92	323
223	93	322
224	93	322
225	93	321
226	94	320
227	94	320
228	94	319
229	95	319
230	95	318
231	95	317
232	96	317
233	96	317
234	97	317
235	97	316
236	98	316
237	98	315
238	99	315
239	99	314
240	99	314
241	100	314
242	100	314
243	101	314
244	101	314
245	102	313
246	102	312
247	103	312
248	103	312
249	103	311
250	104	311
251	104	311
252	105	310
253	105	310
254	106	310
255	106	310
256	107	309
257	107	308
258	107	308
259	108	309
260	108	308
261	109	308
262	110	308
263	110	308
264	111	308
265	111	307
266	112	307
267	112	307
268	112	306
269	113	306
270	113	305
271	114	305
272	114	305
273	115	304
274	115	305
275	116	305
276	117	305
277	117	304
278	117	304
279	118	303
280	118	303
281	119	303
282	119	302
283	119	301
284	120	301
285	120	300
286	120	300
287	121	299
288	121	299
289	122	298
290	122	298
291	122	298
292	123	297
293	123	296
294	124	296
295	124	295
296	124	295
297	125	295
298	125	294
299	126	294
300	126	294
301	127	293
302	127	292
303	127	292
304	128	292
305	128	291
306	129	291
307	129	290
308	129	290
309	130	289
310	130	290
311	131	289
312	131	289
313	132	289
314	132	289
315	133	289
316	134	288
317	134	288
318	135	288
319	135	287
320	135	287
321	136	288
322	137	288
323	137	287
324	138	287
325	138	286
326	139	286
327	139	285
328	140	285
329	140	285
330	140	284
331	141	284
332	141	283
333	142	283
334	142	283
335	143	283
336	143	282
337	144	282
338	144	282
339	145	281
340	145	281
341	145	280
342	146	279
343	146	279
344	146	279
345	148	280
346	148	279
347	149	279
348	149	279
349	150	278
350	150	278
351	151	279
352	152	278
353	152	278
354	153	277
355	153	277
356	153	276
357	154	276
